"shift","Dxy","C (ROC)","R2","D","D:Chi-sq","D:p","U","U:Chi-sq","U:p","Q","Brier","Intercept","Slope","Emax","E90","Eavg","S:z","S:p","type_shift","model","alpha","drift","slope","ncase.dev","ncase.ext"
0.5,0.291943483511805,0.645971741755903,-4.80402232913648,-1.39182712249692,-13917.2712249692,1,1.43090364403435,14311.0364403435,0,-2.82273076653127,0.445812494166219,-2.22517117305932,0.648264377273314,0.598693076899544,0.596962181830093,0.527307730676799,133.778207312756,0,"other","incorrect",0.3,-2,0.5,5383,1967
1,0.291943483511805,0.645971741755903,-9.7328655936713,-1.96330182480962,-19632.0182480962,1,2.00237834634705,20025.7834634705,0,-3.96568017115668,0.530164412028901,-2.54930336169598,0.648264377273315,0.665646333960479,0.664803691674273,0.603734332468843,181.649402119889,0,"other","incorrect",0.3,-2,0.5,5383,1967
1.5,0.291943483511805,0.645971741755903,-19.8776975369195,-2.60303562424199,-26029.3562424199,1,2.64211214577942,26423.1214577942,0,-5.24514777002141,0.603980370672406,-2.87343555033256,0.648264377273283,0.722252657968709,0.719817223097193,0.663480477181533,233.449292410749,0,"other","incorrect",0.3,-2,0.5,5383,1967
2,0.291943483511805,0.645971741755903,-41.282729431994,-3.29472700830278,-32946.2700830278,1,3.3338035298402,33340.035298402,0,-6.62853053814298,0.663675990532667,-3.19756773896923,0.648264377273295,0.764894701249322,0.763570538685688,0.707688426251214,292.139957192924,0,"other","incorrect",0.3,-2,0.5,5383,1967
-1.56054921383872,0.291943483511805,0.645971741755903,-0.0702533092493466,-0.0433416672683547,-432.416672683546,1,0.0824181888057848,826.181888057848,0,-0.12575985607414,0.16935236668866,-0.889390520109137,0.648264377273323,0.211435279419388,0.193530714406405,0.116911181359251,-12.7618723796333,2.67688348666459e-37,"recalibration","incorrect",0.3,-2,0.5,5383,1967
-2.23315955227635,0.291943483511805,0.645971741755903,0.0471698971136357,0.0300195288550203,301.195288550203,0,0.00905699268241006,92.5699268241005,0,0.0209625361726103,0.151891463997664,-0.453361197914255,0.648264377273334,0.0725468211438973,0.0465590260187273,0.0250230832583543,2.81362731616114,0.00489859837560764,"optimal","incorrect",0.3,-2,0.5,5383,1967
-2,0.306468868534073,0.653234434267037,-0.110617787543774,-0.0684868311776745,-683.868311776745,1,0.117682400330256,1178.82400330256,0,-0.186169231507931,0.181986024537722,-0.938986042862984,0.461398513735451,0.479819498648753,0.303448778316633,0.112867928737594,9.93742518875753,2.86127179311525e-23,"other","correct",0.4,-2,0.5,5531,2075
-1.5,0.306468868534073,0.653234434267037,-0.357294817644429,-0.205989294459849,-2058.89294459849,1,0.255184863612431,2553.84863612431,0,-0.46117415807228,0.211079558578276,-1.16968529973071,0.461398513735451,0.52508249946912,0.403952277074565,0.180448410131904,15.6163317941195,5.6355953552032e-55,"other","correct",0.4,-2,0.5,5531,2075
-1,0.306468868534073,0.653234434267037,-0.847620884909536,-0.433410590838118,-4333.10590838118,1,0.4826061599907,4828.061599907,0,-0.916016750828818,0.255419454571735,-1.40038455659844,0.461398513735452,0.558181995332066,0.484943755695311,0.27264689318196,34.2428964238703,5.56373500823422e-257,"other","correct",0.4,-2,0.5,5531,2075
-0.5,0.306468868534073,0.653234434267037,-1.76426116195014,-0.755692655481082,-7555.92655481082,1,0.804888224633664,8050.88224633664,0,-1.56058088011475,0.314565311595743,-1.63108381346616,0.46139851373545,0.582174179992236,0.545162741171068,0.367433586429074,68.9513886249837,0,"other","correct",0.4,-2,0.5,5531,2075
0,0.306468868534073,0.653234434267037,-3.48557727797033,-1.17266480758107,-11725.6480758107,1,1.22186037673365,12220.6037673365,0,-2.39452518431472,0.385919021389075,-1.86178307033389,0.461398513735452,0.599216980306984,0.587385854256102,0.459418202742675,118.548158356358,0,"no","correct",0.4,-2,0.5,5531,2075
0.5,0.306468868534073,0.653234434267037,-6.80941149694232,-1.67851192513575,-16784.1192513575,1,1.72770749428833,17279.0749428833,0,-3.40621941942408,0.464288434926115,-2.09248232720162,0.461398513735455,0.619022456033088,0.618638466008174,0.543025303182216,170.131827439688,0,"other","correct",0.4,-2,0.5,5531,2075
1,0.306468868534073,0.653234434267037,-13.445958309651,-2.26222503058363,-22621.2503058363,1,2.31142059973621,23116.2059973621,0,-4.57364563031984,0.542238956339107,-2.32318158406936,0.46139851373546,0.67171598804387,0.6675889519749,0.613696123970249,213.441717054903,0,"other","correct",0.4,-2,0.5,5531,2075
1.5,0.306468868534073,0.653234434267037,-27.1041388136712,-2.90933396319184,-29092.3396319184,1,2.95852953234442,29587.2953234442,0,-5.86786349553625,0.612108713482711,-2.55388084093706,0.46139851373545,0.716731626834384,0.715176041194416,0.66914018481049,255.15402129299,0,"other","correct",0.4,-2,0.5,5531,2075
2,0.306468868534073,0.653234434267037,-55.8863263603591,-3.6044883507459,-36043.883507459,1,3.65368391989849,36538.8391989849,0,-7.25817227064439,0.668769141843717,-2.78458009780479,0.461398513735452,0.756406764061859,0.753766522167683,0.709739341706313,305.752883094254,0,"other","correct",0.4,-2,0.5,5531,2075
